image,name,caption,normal,silver,gold,iridium,place,time,season,weather,level,exp
https://stardewvalleywiki.com/mediawiki/images/b/ba/Pufferfish.png,河豚,它受到威胁时会膨胀。,200,250,300,400,海洋，姜岛海洋,中午12:00至下午4:00, 夏季（姜岛任意季节）, 晴天,80 漂浮型,29
https://stardewvalleywiki.com/mediawiki/images/7/79/Anchovy.png,鳀鱼,一种海里的小银鱼。,30,37,45,60,海洋,任意时间, 春季 秋季,任何,30 猛冲型,13
https://stardewvalleywiki.com/mediawiki/images/c/c5/Tuna.png,金枪鱼,一种住在海里的大型鱼。,100,125,150,200,海洋，姜岛海洋,上午6:00至晚上7:00, 夏季 冬季（姜岛任意季节）,任何,70 平滑型,26
https://stardewvalleywiki.com/mediawiki/images/0/04/Sardine.png,沙丁鱼,一种常见的海鱼。,40,50,60,80,海洋,上午6:00至晚上7:00, 春季 秋季 冬季,任何,30 猛冲型,13
https://stardewvalleywiki.com/mediawiki/images/8/82/Bream.png,鲷鱼,一种夜间活跃的常见河鱼。,45,56,67,90,河流（小镇+森林）,下午6:00至凌晨2:00,任意季节,任何,35 平滑型,14
https://stardewvalleywiki.com/mediawiki/images/1/11/Largemouth_Bass.png,大嘴鲈鱼,一种住在湖里的受欢迎鱼类。,100,125,150,200,深山湖泊,上午6:00至晚上7:00,任意季节,任何,50 混合型,19
https://stardewvalleywiki.com/mediawiki/images/a/a5/Smallmouth_Bass.png,小嘴鲈鱼,一种对污染很敏感的淡水鱼。,50,62,75,100,河流（小镇）煤矿森林池塘,任意时间, 春季 秋季,任何,28 混合型,12
https://stardewvalleywiki.com/mediawiki/images/1/14/Rainbow_Trout.png,虹鳟鱼,一种身上有彩虹带的淡水鳟鱼。,65,81,97,130,河流（小镇+森林）深山湖泊,上午6:00至晚上7:00, 夏季, 晴天,45 混合型,18
https://stardewvalleywiki.com/mediawiki/images/e/e0/Salmon.png,鲑鱼,它会游到上游产卵。,75,93,112,150,河流（小镇+森林）煤矿森林瀑布,上午6:00至晚上7:00, 秋季,任何,50 混合型,19
https://stardewvalleywiki.com/mediawiki/images/0/05/Walleye.png,大眼鱼,一种在夜间捕捉的淡水鱼。,105,131,157,210,河流（小镇+森林）煤矿森林池塘深山湖泊,中午12:00至凌晨2:00, 秋季 冬季（使用雨水图腾）, 雨天,45 平滑型,18
https://stardewvalleywiki.com/mediawiki/images/4/43/Perch.png,河鲈,一种冬季淡水鱼。,55,68,82,110,河流（小镇+森林）煤矿森林池塘深山湖泊,任意时间, 冬季,任何,35 混合型,14
https://stardewvalleywiki.com/mediawiki/images/a/a8/Carp.png,鲤鱼,一种常见的池鱼。,30,37,45,60,深山湖泊下水道秘密森林池塘,任意时间,任意季节,任何,15 混合型,8
https://stardewvalleywiki.com/mediawiki/images/9/99/Catfish.png,鲶鱼,一种能在小溪里找到的罕见鱼类。,200,250,300,400,河流（小镇+森林）秘密森林池塘巫婆沼泽,上午6:00至凌晨0:00, 春季 秋季（ 春季和 夏季在秘密森林池塘里）, 雨天,75 混合型,28
https://stardewvalleywiki.com/mediawiki/images/3/31/Pike.png,狗鱼,一种很难捕捉的淡水鱼。,100,125,150,200,河流（小镇+森林）煤矿森林池塘,任意时间, 夏季 冬季,任何,60 猛冲型,23
https://stardewvalleywiki.com/mediawiki/images/5/56/Sunfish.png,太阳鱼,一种常见的河鱼。,30,37,45,60,河流（小镇+森林）,上午6:00至晚上7:00, 春季 夏季, 晴天 风,30 混合型,13
https://stardewvalleywiki.com/mediawiki/images/f/f2/Red_Mullet.png,红鲻鱼,从前它们被当做宠物饲养。,75,93,112,150,海洋,上午6:00至晚上7:00, 夏季 冬季,任何,55 平滑型,21
https://stardewvalleywiki.com/mediawiki/images/f/f1/Herring.png,鲱鱼,一种常见的海鱼。,30,37,45,60,海洋,任意时间, 春季 冬季,任何,25 猛冲型,11
https://stardewvalleywiki.com/mediawiki/images/9/91/Eel.png,鳗鱼,一种长而滑溜的小鱼。,85,106,127,170,海洋,下午4:00至凌晨2:00, 春季 秋季, 雨天,70 平滑型,26
https://stardewvalleywiki.com/mediawiki/images/5/5a/Octopus.png,章鱼,一种神秘聪明的生物。,150,187,225,300,海洋，姜岛海洋,上午6:00至下午1:00, 夏季（姜岛任意季节）,任何,95 下坠型,34
https://stardewvalleywiki.com/mediawiki/images/d/d3/Red_Snapper.png,红鲷鱼,一种身上是漂亮红色的受欢迎鱼类。,50,62,75,100,海洋,上午6:00至晚上7:00, 夏季 秋季 冬季使用雨水图腾, 雨天,40 混合型,16
https://stardewvalleywiki.com/mediawiki/images/8/81/Squid.png,鱿鱼,一种可以长得很大的深海生物。,80,100,120,160,海洋,下午6:00至凌晨2:00, 冬季,任何,75 下坠型,28
https://stardewvalleywiki.com/mediawiki/images/a/a9/Sea_Cucumber.png,海参,一种在海底能找到的黏滑生物。,75,93,112,150,海洋,上午6:00至晚上7:00, 秋季 冬季,任何,40 下坠型,16
https://stardewvalleywiki.com/mediawiki/images/d/d5/Super_Cucumber.png,大海参,一种稀有紫色品种的海参。,250,312,375,500,海洋，姜岛海洋,下午6:00至凌晨2:00, 夏季 秋季（姜岛任意季节）,任何,80 下坠型,29
https://stardewvalleywiki.com/mediawiki/images/7/72/Ghostfish.png,鬼鱼,一种在地下湖里能找到的苍白色的盲鱼。,45,56,67,90,矿井（20、60）幽灵掉落,任意时间,任意季节,任何,50 混合型,19
https://stardewvalleywiki.com/mediawiki/images/0/03/Stonefish.png,石鱼,一种形状像砖块的奇怪鱼类。,300,375,450,600,矿井 20层,任意时间,任意季节,任何,65 下坠型,24
https://stardewvalleywiki.com/mediawiki/images/6/63/Ice_Pip.png,冰柱鱼,一种在极寒条件下生长的稀有鱼类。,500,625,750,1000,矿井 60层,任意时间,任意季节,任何,85 猛冲型,31
https://stardewvalleywiki.com/mediawiki/images/1/12/Lava_Eel.png,岩浆鳗鱼,它可以在炽热的岩浆中生存。,700,875,1050,1400,矿井 100层火山口,任意时间,任意季节,任何,90 混合型,33
https://stardewvalleywiki.com/mediawiki/images/b/bb/Sandfish.png,沙鱼,它用保护色隐藏自己。,75,93,112,150,沙漠,上午6:00至晚上8:00,任意季节,任何,65 混合型,24
https://stardewvalleywiki.com/mediawiki/images/7/76/Scorpion_Carp.png,蝎鲤鱼,它和普通的鲤鱼很像，但是它有锋利的毒刺。,150,187,225,300,沙漠,上午6:00至晚上8:00,任意季节,任何,90 猛冲型,33
